,Ant,Larva,Food
399,654,277,1
400,664,265,2
401,675,284,3
402,675,281,8
403,679,292,22
404,680,293,1
405,688,294,1
406,704,294,0
407,706,280,2
408,703,275,0
409,715,266,6
410,705,270,3
411,716,258,3
412,708,279,5
413,708,285,4
414,698,280,5
415,694,287,1
416,695,290,0
417,705,273,2
418,706,257,5
419,705,277,12
420,718,283,0
421,733,293,1
422,725,282,9
423,714,316,3
424,722,305,2
425,715,297,2
426,731,279,3
427,727,296,8
428,712,292,3
429,708,303,2
430,708,307,8
431,698,321,9
432,704,324,1
433,701,315,6
434,715,316,0
435,714,330,4
436,703,322,1
437,702,318,0
438,683,320,0
439,683,305,0
440,695,279,0
441,695,293,0
442,700,291,5
443,708,303,2
444,694,316,0
445,694,317,20
446,698,317,0
447,707,323,1
448,723,317,4
449,731,321,9
450,725,323,0
451,708,299,2
452,720,295,2
453,727,297,0
454,699,298,3
455,699,312,3
456,682,346,8
457,689,348,2
458,687,357,0
459,669,350,1
460,671,348,2
461,699,344,0
462,713,346,3
463,706,336,3
464,707,333,3
465,702,346,1
466,694,344,4
467,690,373,0
468,696,383,1
469,704,393,13
470,706,387,2
471,706,389,8
472,709,373,2
473,723,362,0
474,710,359,3
475,695,369,0
476,696,344,0
477,689,345,0
478,659,343,3
479,650,350,1
480,646,335,1
481,643,343,7
482,621,349,0
483,622,353,3
484,630,356,2
485,622,357,0
486,620,369,6
487,618,368,5
488,616,371,0
489,615,373,2
490,611,394,1
491,605,387,5
492,596,381,2
493,595,411,0
494,601,410,4
495,599,383,2
496,590,374,0
497,600,373,0
498,597,340,2
499,601,344,0
500,591,360,2
501,596,380,5
502,606,389,4
503,593,401,0
504,607,387,3
505,626,387,0
506,651,395,2
507,680,384,6
508,718,393,4
509,730,399,4
510,738,393,2
511,756,381,5
512,773,398,2
513,786,407,6
514,786,420,1
515,774,423,2
516,764,430,0
517,754,397,3
518,744,409,0
519,761,386,0
520,759,397,2
521,750,396,2
522,738,425,7
523,744,419,2
524,720,438,2
525,718,449,0
526,702,461,11
527,690,462,2
528,669,448,0
529,623,430,1
530,618,431,0
531,604,403,0
532,596,399,0
533,598,392,2
534,587,393,0
535,589,391,0
536,591,397,0
537,565,410,0
538,553,412,2
539,542,412,0
540,531,407,6
541,525,435,2
542,507,436,0
543,498,416,4
544,501,454,0
545,505,463,8
546,511,443,0
547,500,425,0
548,492,452,4
549,507,436,2
550,503,437,6
551,511,433,0
552,507,462,0
553,500,464,2
554,491,484,0
555,505,463,0
556,511,470,2
557,528,464,6
558,534,454,0
559,561,433,0
560,581,441,1
561,590,438,0
562,604,433,6
563,611,449,2
564,629,465,0
565,627,460,1
566,617,468,0
567,633,466,0
568,632,475,0
569,653,460,2
570,636,462,2
571,650,452,0
572,652,450,4
573,642,457,0
574,628,464,8
575,626,462,0
576,626,458,1
577,612,460,2
578,611,469,0
579,617,451,0
580,603,437,0
581,592,442,0
582,573,443,0
583,555,436,4
584,538,452,0
585,524,462,0
586,532,428,2
587,537,427,1
588,539,416,2
589,540,414,0
590,535,413,1
591,532,461,1
592,530,482,1
593,534,484,0
594,551,488,0
595,565,488,0
596,576,460,3
597,581,426,0
598,590,420,5
599,601,405,2
600,618,442,0
601,632,451,0
602,626,481,0
603,622,495,5
604,626,505,0
605,623,479,0
606,623,465,3
607,612,459,2
608,602,472,2
609,601,474,0
610,574,464,4
611,566,453,2
612,567,465,0
613,579,437,3
614,589,428,2
615,585,448,5
616,585,451,2
617,571,434,4
618,590,466,3
619,605,471,0
620,594,460,0
621,606,451,3
622,593,465,9
623,611,450,1
624,620,467,4
625,619,519,2
626,610,532,0
627,615,541,0
628,619,517,0
629,604,494,0
630,621,458,0
631,613,460,0
632,600,445,0
633,583,465,0
634,588,460,0
635,590,461,1
636,570,454,4
637,568,468,0
638,581,485,0
639,577,483,0
640,567,473,0
641,565,480,0
642,567,466,1
643,584,436,4
644,593,459,0
645,601,493,1
646,590,495,0
647,584,504,0
648,577,513,0
649,585,496,2
650,583,468,2
651,578,465,2
652,573,483,1
653,570,456,4
654,586,441,2
655,585,426,8
656,592,420,1
657,599,398,6
658,589,430,0
659,588,452,0
660,574,456,2
661,592,482,0
662,592,492,1
663,603,471,7
664,612,469,4
665,610,467,0
666,618,478,0
667,629,490,0
668,609,486,1
669,604,493,3
670,586,501,0
671,581,489,1
672,575,467,0
673,579,468,1
674,567,459,3
675,568,472,1
676,583,470,0
677,578,465,0
678,572,438,4
679,565,439,0
680,574,414,3
681,580,399,1
682,582,403,0
683,574,436,0
684,567,440,0
685,575,459,0
686,567,462,0
687,550,471,2
688,550,496,0
689,543,508,2
690,538,501,0
691,523,497,5
692,525,493,2
693,519,467,0
694,527,456,0
695,510,464,2
696,497,497,8
697,502,508,7
698,492,513,0
699,472,522,4
700,475,518,0
701,486,473,2
702,510,454,2
703,507,462,0
704,535,440,8
705,558,432,1
706,581,447,2
707,582,467,2
708,596,479,0
709,620,523,1
710,627,543,4
711,646,559,2
712,645,556,1
713,646,529,5
714,646,504,0
715,634,473,0
716,636,458,0
717,621,451,0
718,605,445,4
719,586,433,0
720,573,446,0
721,544,406,0
722,530,418,0
723,514,422,0
724,503,433,6
725,505,452,0
726,476,468,0
727,470,474,0
728,457,466,2
729,433,466,0
730,434,448,0
731,420,457,0
732,423,456,0
733,427,436,0
734,441,440,2
735,451,456,4
736,464,453,6
737,477,458,0
738,491,490,2
739,509,494,0
740,518,489,0
741,531,467,0
742,543,444,0
743,569,431,0
744,586,443,2
745,615,451,3
746,627,485,1
747,626,488,0
748,649,521,2
749,639,513,0
750,637,511,0
751,642,501,0
752,624,509,0
753,617,477,0
754,611,463,1
755,607,444,2
756,598,450,0
757,598,437,1
758,573,439,1
759,568,452,0
760,551,482,2
761,539,482,0
762,522,480,2
763,508,474,1
764,512,482,0
765,517,461,0
766,511,447,1
767,505,434,2
768,503,456,2
769,509,433,4
770,517,451,0
771,503,460,0
772,499,485,2
773,508,481,0
774,507,512,5
775,523,512,0
776,548,539,2
777,541,536,2
778,562,523,0
779,579,508,1
780,592,493,4
781,610,467,4
782,618,460,0
783,611,472,0
784,636,481,0
785,631,481,0
786,657,475,4
787,668,482,0
788,668,460,0
789,657,455,3
790,651,461,0
791,654,479,2
792,640,480,0
793,628,479,2
794,616,479,2
795,621,489,0
796,612,467,0
797,625,473,0
798,606,491,0
799,609,506,0
800,609,478,2
801,604,501,0
802,594,491,2
803,606,455,2
804,592,465,0
805,588,480,0
806,578,473,4
807,570,480,3
808,558,518,0
809,559,508,0
810,568,470,2
811,597,478,1
812,617,490,1
813,612,460,1
814,616,468,3
815,611,492,0
816,609,471,4
817,627,436,2
818,623,425,0
819,623,426,1
820,616,414,1
821,595,441,1
822,604,465,2
823,594,481,0
824,584,481,0
825,585,508,0
826,573,480,0
827,562,483,0
828,532,492,0
829,501,501,2
830,504,507,1
831,486,529,2
832,482,510,0
