,Ant,Larva,Food
1,50,0,0
2,50,0,0
3,50,0,45
4,50,0,96
5,50,0,140
6,50,4,153
7,41,10,172
8,40,19,180
9,39,24,205
10,37,35,204
11,37,34,212
12,40,33,225
13,45,29,243
14,46,26,254
15,55,26,249
16,56,26,251
17,61,25,271
18,63,25,274
19,62,30,286
20,68,29,282
21,66,33,305
22,66,35,330
23,67,38,370
24,72,39,398
25,73,39,418
26,77,40,471
27,81,44,480
28,80,45,506
29,84,45,529
30,89,44,551
31,97,45,562
32,103,41,579
33,109,45,599
34,110,46,640
35,113,53,662
36,118,57,684
37,120,70,702
38,127,69,731
39,132,79,753
40,140,83,761
41,148,84,756
42,156,89,775
43,161,87,810
44,177,89,805
45,194,93,794
46,204,97,798
47,209,98,788
48,210,109,802
49,223,107,808
50,234,111,825
51,244,118,882
52,251,123,863
53,259,127,878
54,263,134,902
55,268,139,896
56,279,140,891
57,295,139,903
58,307,143,919
59,321,143,884
60,342,145,858
61,345,140,848
62,348,143,827
63,358,140,821
64,369,147,825
65,382,153,826
66,388,162,853
67,392,186,831
68,402,198,847
69,421,212,820
70,440,217,810
71,448,231,772
72,477,228,755
73,486,233,700
74,516,218,637
75,537,220,617
76,555,217,566
77,583,216,520
78,597,216,524
79,608,226,523
80,606,240,491
81,624,234,447
82,638,242,417
83,647,245,416
84,668,254,380
85,689,244,312
86,692,262,284
87,706,264,194
88,718,262,180
89,735,273,134
90,738,276,80
91,758,274,5
92,728,244,0
93,701,228,7
94,718,229,0
95,730,220,0
96,713,220,1
97,685,233,0
98,642,241,17
99,632,218,0
100,605,197,0
101,584,179,19
102,579,187,0
103,551,176,11
104,522,172,2
105,511,187,11
106,491,191,12
107,502,185,4
108,493,193,0
109,479,184,3
110,455,153,0
111,443,131,5
112,458,131,16
113,461,129,25
114,453,157,7
115,439,176,0
116,421,185,0
117,428,171,3
118,410,161,0
119,406,136,0
120,402,129,10
121,409,138,6
122,401,142,2
123,376,129,5
124,382,134,0
125,374,139,0
126,380,126,4
127,386,129,4
128,375,157,9
129,382,162,12
130,388,162,27
131,390,169,21
132,410,166,41
133,424,160,17
134,425,155,0
135,427,149,5
136,431,154,0
137,421,147,4
138,411,134,0
139,382,117,4
140,372,111,0
141,367,87,0
142,365,100,1
143,356,111,49
144,355,132,46
145,347,134,85
146,333,153,87
147,343,150,131
148,354,140,146
149,371,137,143
150,376,135,128
151,377,139,142
152,391,145,133
153,396,155,174
154,411,163,157
155,409,169,204
156,426,167,223
157,434,181,187
158,443,186,170
159,459,190,130
160,463,207,129
161,474,212,100
162,501,217,63
163,515,214,24
164,527,207,2
165,524,193,0
166,506,183,0
167,513,177,27
168,530,179,41
169,541,181,51
170,551,204,57
171,546,215,78
172,553,218,85
173,557,215,68
174,564,220,0
175,534,177,0
176,529,155,21
177,539,150,0
178,519,132,0
179,495,132,0
180,473,169,30
181,472,202,15
182,469,211,0
183,448,222,3
184,429,195,0
185,434,191,5
186,454,160,9
187,453,151,0
188,451,143,0
189,437,156,5
190,443,141,18
191,453,156,13
192,463,164,3
193,461,174,35
194,471,183,21
195,465,209,0
196,474,191,6
197,456,184,0
198,462,174,20
199,470,183,7
200,492,177,19
201,486,188,2
202,464,189,2
203,451,190,2
204,464,183,25
205,477,167,5
206,461,155,5
207,454,151,3
208,451,150,15
209,443,150,7
210,434,153,12
211,411,145,0
212,411,139,0
213,403,136,0
214,391,116,8
215,408,122,10
216,397,148,25
217,389,161,36
218,396,183,18
219,394,198,64
220,414,205,61
221,430,201,22
222,453,194,29
223,464,195,15
224,471,202,0
225,469,187,12
226,468,192,3
227,473,192,5
228,481,195,0
229,485,187,24
230,467,196,4
231,466,196,19
232,464,199,3
233,475,199,0
234,469,193,1
235,462,180,3
236,463,172,16
237,457,175,0
238,463,150,21
239,461,160,9
240,460,182,17
241,464,201,8
242,471,197,11
243,467,226,7
244,468,216,11
245,473,208,0
246,463,176,0
247,461,171,0
248,469,168,0
249,473,172,8
250,483,181,2
251,477,203,16
252,484,218,13
253,510,225,21
254,501,220,0
255,496,200,0
256,501,193,4
257,506,186,0
258,503,158,0
259,495,175,6
260,489,194,12
261,490,217,1
262,497,231,0
263,482,243,0
264,446,215,0
265,437,198,0
266,439,169,2
267,435,139,0
268,427,133,23
269,404,160,0
270,402,175,5
271,394,184,28
272,388,215,48
273,393,234,3
274,406,219,6
275,420,208,12
276,437,230,9
277,430,202,3
278,422,167,1
279,423,182,8
280,425,180,0
281,426,157,0
282,417,169,1
283,393,185,1
284,403,172,0
285,392,170,9
286,404,172,30
287,422,179,62
288,425,191,117
289,433,201,110
290,451,222,92
291,466,246,38
