,Ant,Larva,Food
1,50,0,0
2,50,0,0
3,50,0,55
4,50,0,81
5,50,1,142
6,50,6,162
7,46,19,174
8,43,24,204
9,39,27,216
10,32,36,237
11,35,38,233
12,44,31,251
13,50,29,246
14,50,33,264
15,55,29,270
16,60,25,270
17,64,27,279
18,64,31,301
19,67,31,315
20,68,35,350
21,70,41,352
22,74,43,366
23,79,46,365
24,82,45,379
25,88,47,399
26,91,46,421
27,101,46,443
28,106,45,449
29,107,52,455
30,116,52,456
31,116,54,500
32,118,54,545
33,120,55,551
34,123,58,566
35,128,54,566
36,133,60,587
37,140,61,603
38,146,72,612
39,154,70,635
40,158,75,644
41,161,81,669
42,163,83,697
43,169,85,717
44,174,92,711
45,182,89,720
46,193,85,737
47,199,89,778
48,211,87,825
49,218,93,848
50,224,96,882
51,227,101,910
52,236,101,915
53,246,100,947
54,265,96,933
55,265,95,992
56,275,92,1003
57,285,95,1013
58,293,97,1037
59,301,104,1044
60,296,121,1051
61,300,129,1061
62,302,141,1088
63,309,139,1084
64,308,143,1077
65,311,133,1101
66,327,127,1102
67,330,121,1119
68,340,117,1103
69,355,107,1130
70,356,121,1153
71,351,134,1167
72,358,141,1177
73,367,153,1163
74,368,157,1229
75,382,150,1261
76,394,149,1274
77,399,143,1307
78,413,139,1321
79,412,147,1340
80,416,157,1357
81,430,153,1405
82,424,163,1416
83,425,167,1403
84,428,178,1390
85,441,176,1381
86,454,193,1370
87,471,199,1355
88,487,202,1353
89,504,196,1320
90,507,201,1373
91,528,194,1358
92,537,196,1378
93,544,188,1397
94,549,188,1413
95,557,195,1393
96,574,204,1352
97,587,220,1302
98,587,241,1287
99,594,251,1259
100,610,254,1222
101,620,253,1186
102,645,241,1178
103,683,240,1127
104,697,244,1078
105,711,252,1027
106,726,265,996
107,734,281,964
108,737,295,905
109,756,327,812
110,778,336,733
111,801,346,667
112,822,355,584
113,844,358,512
114,874,351,377
115,900,336,285
116,926,336,181
117,948,344,76
118,947,342,0
119,923,300,0
120,894,291,0
121,867,262,6
122,849,224,1
123,819,210,0
124,779,215,0
125,741,205,0
126,692,212,5
127,653,226,7
128,618,209,0
129,585,195,0
130,557,193,0
131,523,171,0
132,483,133,0
133,459,123,7
134,438,142,0
135,414,135,0
136,392,136,4
137,373,157,16
138,369,161,14
139,382,162,15
140,381,167,5
141,385,177,43
142,412,171,39
143,415,179,36
144,447,165,1
145,449,179,43
146,459,184,38
147,468,188,62
148,483,196,76
149,495,204,38
150,510,208,17
151,522,214,24
152,529,215,7
153,536,213,10
154,535,202,3
155,505,171,0
156,489,136,4
157,478,124,0
158,474,107,6
159,461,103,6
160,443,134,31
161,427,158,57
162,428,176,43
163,426,188,83
164,422,206,67
165,438,206,35
166,447,209,42
167,457,214,0
168,447,208,0
169,454,199,0
170,461,194,11
171,471,206,20
172,468,189,0
173,457,178,0
174,446,170,0
175,450,157,0
176,455,134,0
177,429,127,12
178,419,158,4
179,425,163,11
180,421,180,21
181,423,213,0
182,402,209,6
183,408,192,10
184,419,194,16
185,425,184,0
186,427,161,15
187,413,176,4
188,409,178,0
189,409,165,4
190,407,179,18
191,412,188,0
192,414,184,0
193,395,171,0
194,394,182,0
195,390,164,4
196,376,149,4
197,363,151,0
198,353,170,12
199,378,175,0
200,373,182,2
201,380,189,21
202,389,195,13
203,381,195,7
204,394,185,0
205,399,193,13
206,427,201,16
207,439,202,0
208,431,204,0
209,439,218,12
210,444,212,15
211,445,216,0
212,439,197,4
213,444,222,0
214,433,205,4
215,426,190,3
216,427,177,10
217,428,213,1
218,424,182,2
219,404,167,4
220,380,173,0
221,361,162,5
222,362,124,21
223,362,143,1
224,349,152,10
225,342,160,1
226,336,169,2
227,326,178,0
228,340,169,0
229,345,164,0
230,338,160,0
231,352,162,11
232,343,154,7
233,344,150,3
234,339,154,0
235,315,135,0
236,317,119,0
237,311,121,31
238,323,129,8
239,324,128,0
240,307,133,0
241,311,148,9
242,330,164,39
243,346,171,59
244,354,178,75
245,348,211,71
246,371,225,22
247,389,223,0
248,391,211,0
249,384,214,11
250,387,186,3
251,384,163,4
252,382,144,0
253,383,158,22
254,395,173,22
255,393,204,12
256,384,222,0
257,378,218,5
258,381,215,1
259,405,210,3
260,396,185,0
261,399,159,8
262,410,185,25
263,415,187,7
264,427,180,0
265,422,177,5
266,406,189,0
267,420,181,0
268,411,168,0
269,396,161,0
270,372,152,0
271,354,146,0
272,361,146,26
273,368,165,7
274,378,182,12
275,367,225,4
276,364,238,0
277,386,249,1
278,373,224,0
279,372,208,0
280,365,182,0
281,373,174,2
282,373,156,0
283,368,171,6
284,358,160,6
285,359,178,40
