,Ant,Larva,Food
1,50,0,30
2,50,0,53
3,50,3,118
4,50,3,146
5,47,16,154
6,43,28,167
7,39,30,173
8,40,40,182
9,34,45,199
10,44,39,193
11,54,30,192
12,55,32,188
13,65,24,208
14,71,20,244
15,72,21,260
16,73,17,325
17,74,24,334
18,72,28,331
19,71,34,347
20,72,40,365
21,73,45,398
22,82,48,419
23,85,53,435
24,87,52,454
25,92,53,455
26,91,54,466
27,104,49,474
28,113,50,462
29,117,54,465
30,120,55,471
31,121,59,478
32,126,62,465
33,134,60,453
34,140,61,461
35,145,67,467
36,147,69,476
37,158,71,456
38,159,74,455
39,162,71,461
40,170,68,462
41,167,74,492
42,176,72,486
43,183,68,506
44,181,85,518
45,187,91,503
46,195,97,493
47,201,102,492
48,202,108,516
49,219,101,509
50,229,105,516
51,248,105,498
52,262,114,476
53,268,120,483
54,269,133,478
55,277,139,458
56,283,134,457
57,299,138,400
58,312,135,387
59,331,135,357
60,346,134,374
61,338,153,377
62,346,159,359
63,357,177,328
64,363,180,297
65,373,188,323
66,402,181,302
67,413,193,270
68,427,196,231
69,441,186,248
70,459,191,233
71,473,191,212
72,502,188,171
73,524,186,166
74,526,202,189
75,552,210,141
76,552,212,117
77,572,208,113
78,581,222,61
79,580,229,35
80,599,221,0
81,587,216,0
82,574,206,0
83,575,188,1
84,554,177,0
85,526,159,3
86,509,169,0
87,490,169,4
88,476,164,21
89,473,175,5
90,462,201,0
91,457,198,0
92,440,198,8
93,421,197,2
94,419,186,3
95,446,171,15
96,436,168,0
97,441,172,2
98,442,174,26
99,457,182,18
100,469,187,2
101,448,166,10
102,454,172,22
103,443,167,23
104,448,168,9
105,467,173,8
106,474,194,18
107,471,203,8
108,462,204,0
109,458,185,13
110,458,175,0
111,448,157,0
112,443,134,50
113,455,138,56
114,441,161,70
115,447,163,59
116,443,184,58
117,452,192,54
118,474,201,86
119,485,204,57
120,506,200,54
121,526,200,16
122,531,206,9
123,535,191,14
124,531,184,23
125,530,191,3
126,544,186,4
127,526,162,0
128,517,176,2
129,511,181,0
130,505,172,0
131,497,177,18
132,477,200,26
133,486,187,0
134,483,195,8
135,484,186,7
136,491,169,7
137,491,161,0
138,488,154,32
139,499,164,16
140,476,156,0
141,445,154,0
142,413,134,1
143,403,135,6
144,422,106,28
145,410,114,19
146,391,129,21
147,388,141,65
148,387,149,67
149,386,156,89
150,396,167,109
151,406,164,117
152,402,176,100
153,418,183,86
154,428,186,65
155,442,179,64
156,448,187,41
157,465,188,41
158,478,180,22
159,494,184,34
160,499,194,19
161,517,187,1
162,520,197,27
163,529,200,21
164,519,181,0
165,487,154,0
166,472,136,0
167,484,133,6
168,488,136,25
169,487,148,27
170,462,181,30
171,453,202,36
172,476,208,21
173,474,198,2
174,470,185,8
175,459,178,0
176,475,168,3
177,494,155,11
178,495,158,14
179,500,164,35
180,497,174,29
181,505,179,24
182,509,186,8
183,495,176,7
184,494,183,0
185,470,153,0
186,460,132,9
187,463,120,0
188,450,133,4
189,445,136,2
190,437,152,12
191,418,159,2
192,419,173,17
193,429,173,22
194,427,175,15
195,417,167,5
196,393,159,0
197,389,135,0
198,376,113,14
199,382,114,8
200,360,112,12
201,362,126,0
202,351,151,15
203,341,164,0
204,321,138,0
205,306,127,0
206,297,116,11
207,323,86,40
208,331,96,18
209,319,109,61
210,314,118,83
211,312,132,95
212,323,143,106
213,341,141,92
214,357,143,118
215,361,151,135
216,377,153,136
217,393,154,154
218,408,158,143
219,415,156,175
220,433,165,173
221,434,172,172
222,442,179,190
223,454,180,186
224,456,196,195
225,466,197,178
226,474,205,163
227,486,199,171
228,498,197,155
229,514,202,131
230,530,210,117
231,545,202,89
232,562,213,65
233,572,234,33
234,580,235,0
235,570,205,7
236,558,209,2
237,535,189,0
238,507,146,0
239,480,107,7
240,474,134,30
241,459,122,10
242,459,147,4
243,424,162,0
244,404,169,0
245,390,147,0
246,383,143,2
247,386,140,0
248,369,128,12
249,360,155,10
250,357,170,0
251,352,174,5
252,358,154,4
253,350,178,20
254,367,156,10
255,388,146,44
256,390,161,0
257,372,157,0
258,376,148,2
259,373,162,23
260,375,168,2
261,378,161,0
262,372,165,39
263,368,166,6
264,377,167,0
265,374,164,0
266,361,141,0
267,344,134,0
268,330,117,0
269,320,96,6
270,320,81,0
271,311,100,0
272,302,104,0
273,295,104,17
274,290,126,0
275,277,118,2
276,280,119,2
277,280,115,0
278,262,110,5
279,266,89,5
280,255,92,14
281,273,88,5
282,266,91,18
283,262,113,38
284,261,128,37
285,258,140,31
286,277,149,34
287,282,158,26
288,295,152,13
289,290,139,0
290,294,123,0
291,311,111,16
292,312,123,8
293,302,118,2
294,290,120,4
295,283,130,17
296,295,142,10
297,292,129,0
298,288,137,0
299,277,141,10
300,281,142,50
301,303,137,7
302,298,137,9
303,306,146,12
304,318,142,22
305,319,153,0
306,310,125,0
307,289,113,1
308,270,83,0
309,275,75,0
310,278,52,0
311,258,57,0
312,237,66,4
313,220,95,21
314,223,100,48
315,217,125,54
316,220,139,40
317,224,147,10
318,226,133,0
319,206,106,0
320,194,82,0
321,200,63,0
322,206,50,33
323,208,63,41
324,198,80,28
325,190,96,34
326,192,101,55
327,194,110,54
328,210,95,33
329,216,89,42
330,228,84,25
331,234,92,6
332,237,80,1
333,230,80,0
334,229,85,32
335,237,88,4
336,238,85,0
337,232,89,7
338,234,100,32
339,241,99,25
340,246,107,0
341,246,105,5
342,245,108,0
343,245,96,0
344,240,108,4
345,246,92,7
346,234,95,0
347,231,94,0
348,219,101,5
349,204,82,0
350,197,84,7
351,190,78,4
352,178,66,7
353,186,64,3
354,180,77,15
355,178,74,10
356,185,83,4
357,173,101,11
358,167,91,0
359,168,86,0
360,166,82,2
361,162,75,0
362,161,58,0
363,153,55,13
364,154,63,7
365,155,63,0
366,151,53,0
367,151,56,3
368,141,56,7
369,142,55,0
370,155,54,4
371,156,57,27
372,157,60,14
373,150,65,0
374,149,66,0
375,149,59,0
376,143,56,1
377,148,56,0
378,138,50,0
379,129,34,0
380,125,27,0
381,117,33,20
382,123,34,4
383,119,40,6
384,106,48,0
385,98,50,0
386,89,40,0
387,82,26,0
388,79,26,0
389,77,17,2
390,75,20,0
391,68,20,4
392,60,27,4
393,62,28,0
394,59,29,10
395,62,29,15
396,60,34,17
397,63,36,4
398,67,31,0
399,60,25,0
400,64,23,0
401,67,24,0
402,67,15,3
403,67,18,21
404,66,22,35
405,68,21,31
406,69,20,16
407,69,21,12
408,69,19,19
409,68,19,24
410,67,22,28
411,66,20,50
412,64,23,46
413,65,23,41
414,66,22,61
415,66,24,58
416,68,23,54
417,70,23,54
418,69,25,57
419,70,24,48
420,73,25,35
421,75,26,27
422,75,26,13
423,76,29,23
424,71,29,39
425,72,25,60
426,72,27,45
427,74,32,50
428,81,30,54
429,80,36,54
430,78,45,49
431,80,46,51
432,83,47,34
433,87,41,33
434,91,41,19
435,98,36,14
436,101,40,8
437,108,35,14
438,102,38,7
439,102,34,0
440,101,30,8
441,105,28,1
442,103,25,1
443,102,31,4
444,96,37,4
445,96,34,17
446,96,34,2
447,95,35,5
448,102,33,7
449,106,32,8
450,106,40,0
451,103,38,1
452,97,33,0
453,90,25,0
454,86,22,12
455,84,15,0
456,84,21,1
457,81,24,25
458,76,34,22
459,76,43,11
460,76,51,36
461,79,49,33
462,81,51,22
463,88,48,2
464,82,37,0
465,88,34,0
466,86,39,6
467,89,33,2
468,87,29,2
469,83,28,7
470,86,24,0
471,91,20,18
472,88,29,7
473,90,31,20
474,84,39,24
475,88,40,13
476,86,45,1
477,81,32,0
478,72,27,2
479,73,21,2
480,76,22,22
481,79,18,23
482,76,24,18
483,73,31,25
484,75,35,22
485,77,36,15
486,78,36,13
487,78,37,5
488,84,34,2
489,83,27,6
490,88,26,17
491,88,26,20
492,91,27,12
493,95,31,9
494,89,37,6
495,90,35,5
496,92,38,15
497,92,40,18
498,94,37,11
499,98,38,22
500,97,39,31
501,104,35,26
502,108,35,29
503,112,39,22
504,112,44,13
505,115,43,25
506,114,51,24
507,116,53,12
508,117,52,0
509,116,54,0
510,109,51,24
511,113,54,0
512,112,45,12
513,110,47,0
514,107,32,6
515,102,47,22
516,114,38,19
517,105,52,16
518,103,47,0
519,92,56,0
520,89,39,0
521,84,33,0
522,81,20,1
523,75,21,4
524,73,23,5
525,69,30,5
526,65,37,5
527,60,43,0
528,52,38,0
529,55,33,7
530,50,28,0
531,53,25,0
532,49,18,7
533,51,20,0
534,47,14,0
535,49,13,0
536,46,12,0
537,42,13,0
