Ants,Larva,Food
265.8,110.9,4.0
265.6,107.8,5.6
266.2,105.5,2.0
262.5,104.0,1.4
261.9,101.0,3.0
260.6,99.1,2.7
261.5,100.9,5.9
260.3,101.9,6.5
261.4,104.8,7.0
261.5,109.0,6.9
262.7,109.6,2.1
262.6,109.7,1.9
262.2,110.9,4.2
260.6,109.5,4.0
264.0,106.2,3.8
266.7,106.4,5.8
267.5,105.6,5.8
269.6,104.5,4.7
270.3,105.7,5.4
271.8,106.3,3.8
268.6,109.4,6.2
268.7,110.2,9.3
271.4,115.2,6.1
272.0,115.0,6.7
272.2,117.5,7.0
272.5,117.1,7.4
274.7,118.1,7.7
276.5,112.2,6.9
276.3,113.9,5.4
277.0,110.6,6.2
277.6,113.2,2.5
275.6,111.1,4.0
275.3,116.5,7.4
277.7,115.8,4.1
274.6,119.7,3.2
279.2,117.6,3.5
278.4,119.2,4.6
280.7,115.4,4.5
282.5,113.3,3.6
285.1,110.9,2.5
286.5,113.4,5.1
288.0,113.3,6.0
287.5,116.2,7.1
288.1,116.7,8.9
289.1,121.7,6.3
288.7,122.5,5.3
290.0,118.5,5.5
292.0,122.3,3.1
293.1,122.3,3.1
289.8,118.5,4.5
295.2,115.9,8.5
296.1,123.7,8.2
299.3,121.7,5.1
299.0,125.2,5.3
297.4,128.8,7.5
298.3,128.2,11.6
298.2,125.5,8.0
300.4,127.8,6.6
303.6,124.8,8.0
305.5,122.7,9.6
304.7,126.5,12.7
305.5,130.3,12.0
307.1,129.6,9.4
306.4,126.2,13.6
305.6,129.0,12.0
308.7,130.3,6.9
312.1,130.6,4.3
309.7,130.3,3.3
309.4,137.6,3.9
311.3,134.2,3.8
311.9,131.3,2.8
312.2,128.6,2.9
313.3,130.1,1.8
312.0,128.9,3.5
311.9,130.1,1.8
307.0,130.7,2.6
305.7,133.2,1.4
308.1,133.3,2.9
307.2,134.9,0.8
309.8,131.9,1.4
307.4,131.6,2.1
307.3,128.2,3.0
306.0,126.5,3.1
310.0,129.3,1.7
308.1,131.9,2.4
305.2,131.8,3.6
302.7,133.3,1.2
302.3,134.2,3.3
303.8,132.5,2.4
300.8,129.8,3.4
297.9,128.7,3.4
298.1,130.3,1.6
294.7,128.2,2.0
295.3,125.2,4.1
294.5,127.0,6.9
296.0,130.0,10.1
293.0,127.0,10.2
297.7,128.7,6.9
298.8,131.6,5.1
298.0,135.5,3.1
297.7,137.7,6.8
298.7,139.4,6.8
299.6,141.2,5.2
302.9,137.6,5.5
307.4,134.9,4.9
307.5,129.6,3.3
306.8,129.2,2.1
304.3,124.0,4.1
303.3,131.1,2.9
305.1,128.3,2.2
301.4,130.7,3.3
303.5,132.3,4.7
301.6,135.9,6.2
304.3,132.3,5.1
303.6,134.4,4.9
301.0,137.9,2.5
300.7,138.9,3.2
300.6,136.4,2.8
302.2,138.8,3.2
300.8,138.8,1.4
296.1,134.8,2.1
300.0,137.7,2.3
298.9,136.4,2.0
300.7,135.7,4.6
300.1,133.9,4.8
301.7,135.7,4.8
299.3,136.9,5.6
298.7,138.2,3.3
298.3,139.2,3.6
298.3,142.2,3.3
299.5,145.3,2.9
298.4,144.4,3.8
297.7,140.9,4.3
300.7,140.4,1.9
301.3,137.7,1.9
301.6,131.5,2.9
302.2,127.8,4.6
302.0,128.9,5.4
302.2,134.2,5.1
302.3,138.8,3.7
299.1,144.3,3.8
297.3,148.8,2.8
294.7,151.6,5.0
295.0,149.3,1.9
294.3,150.3,2.7
293.2,151.4,2.3
289.0,145.6,3.4
289.0,143.9,3.4
286.7,141.1,4.9
292.1,137.1,2.9
293.8,136.7,1.9
291.8,136.1,4.4
294.1,138.3,3.6
290.4,139.4,2.9
287.7,141.2,1.3
288.9,141.6,4.2
289.4,147.5,2.4
292.7,147.5,3.6
294.3,154.5,1.3
289.9,151.6,3.4
291.6,154.9,2.1
291.1,154.6,4.3
291.3,154.6,5.5
293.8,151.1,2.6
290.5,157.5,2.3
291.5,156.5,3.5
291.9,155.9,1.4
288.5,149.2,1.4
289.4,149.1,2.3
290.0,145.0,1.0
289.2,141.0,3.3
289.4,142.9,2.9
289.5,150.2,2.8
290.1,150.9,2.2
292.1,153.6,0.9
291.3,152.5,2.2
293.7,150.2,1.9
292.3,149.1,2.0
294.4,148.0,1.5
293.6,147.6,2.5
294.9,147.6,4.0
297.1,152.6,3.2
295.5,154.3,1.1
298.6,153.0,1.9
296.2,154.4,2.2
292.1,157.4,1.8
289.0,149.8,2.2
285.4,148.1,1.8
284.4,148.5,1.4
282.9,145.3,2.9
281.5,139.6,2.7
280.1,146.2,2.2
280.1,147.2,4.4
278.8,149.5,1.8
273.4,150.2,1.8
271.6,153.9,2.4
270.4,152.8,2.6
271.2,155.4,3.4
274.3,150.2,1.7
275.8,147.8,1.9
272.4,149.7,2.5
272.9,149.4,2.7
271.1,147.8,2.2
271.7,150.0,2.2
271.9,149.3,3.4
275.5,153.1,2.5
275.7,152.1,1.9
274.3,150.7,1.9
276.7,153.4,2.0
276.1,155.5,2.6
274.6,153.4,0.6
275.0,151.8,2.6
275.1,151.9,4.3
278.5,152.1,1.8
275.5,149.8,1.2
274.2,147.7,1.2
271.1,146.9,2.3
271.2,146.4,4.8
273.1,145.8,2.5
271.1,153.7,0.8
267.8,152.3,2.5
265.0,154.9,3.1
263.5,157.7,2.9
266.7,155.6,1.2
267.7,146.8,2.2
266.2,149.1,2.3
268.0,148.8,2.9
271.1,147.5,2.0
273.2,150.5,3.4
275.6,154.7,4.9
277.2,155.5,2.4
277.2,155.7,3.7
277.6,157.8,2.3
279.7,152.5,2.0
281.1,153.7,1.5
280.9,155.2,0.8
279.1,157.0,2.3
279.5,154.1,3.3
280.0,160.9,6.2
280.3,163.7,3.5
279.0,166.5,3.9
280.8,164.0,4.6
280.0,165.7,2.8
281.7,165.2,1.3
282.8,162.6,2.0
281.5,161.3,4.5
280.8,160.9,5.1
283.7,160.7,2.7
282.7,159.1,2.1
283.3,163.3,2.3
282.4,162.7,3.6
284.2,166.3,1.2
287.4,166.8,2.3
285.3,167.6,2.1
286.1,168.2,1.4
285.9,165.9,5.7
289.6,166.3,1.8
289.8,162.8,0.9
288.1,163.0,2.7
287.8,159.7,2.6
285.3,160.9,2.3
285.7,156.1,4.9
285.5,158.9,3.3
287.8,163.1,1.1
286.1,159.2,2.8
284.6,164.2,2.8
282.2,168.1,3.6
285.5,164.8,1.1
285.6,162.9,2.8
283.8,169.2,1.3
281.4,165.9,3.2
278.9,166.2,3.8
278.8,170.1,2.3
275.1,166.8,0.8
273.5,165.3,1.9
273.0,163.5,2.5
274.4,162.4,2.2
273.7,158.1,0.6
268.4,160.3,2.0
264.0,161.0,1.0
262.5,165.2,1.4
264.4,166.8,1.6
262.5,166.4,2.1
261.7,166.5,1.6
264.1,161.9,1.0
268.5,158.7,1.6
266.3,157.0,3.0
267.6,157.9,1.5
271.2,160.5,3.0
271.4,162.9,2.1
268.7,160.9,1.8
267.1,161.3,3.1
271.9,163.4,2.1
266.8,162.7,2.5
263.2,162.1,2.0
261.9,167.3,2.1
259.4,168.9,1.7
259.0,167.5,0.8
259.7,168.5,2.5
259.8,170.7,1.8
262.3,168.2,2.7
260.4,167.8,1.0
262.2,164.7,1.6
263.4,163.3,2.8
265.8,162.5,4.1
269.4,163.8,2.1
269.3,164.1,0.4
269.2,167.2,1.9
268.3,173.8,1.2
271.1,172.4,0.5
270.1,169.6,2.2
271.4,170.2,1.3
274.1,170.8,1.4
271.6,165.9,1.7
269.1,169.7,0.9
268.9,172.8,2.6
269.0,175.8,0.9
268.3,176.3,0.9
265.5,178.6,1.5
264.1,174.6,1.0
263.7,176.8,2.0
263.4,173.4,1.8
264.2,173.8,2.7
265.3,172.6,0.9
263.0,173.0,2.3
262.8,173.3,1.8
260.8,171.6,1.9
256.8,177.1,1.3
255.5,172.5,2.3
254.8,170.3,2.0
253.4,168.1,0.7
250.5,167.1,2.1
251.9,165.2,1.1
247.3,168.1,3.1
247.5,168.3,1.6
245.9,164.6,1.7
244.5,169.6,2.0
246.0,171.5,0.9
246.9,170.6,0.5
245.8,166.6,1.7
243.6,169.9,2.2
243.2,164.2,1.6
246.9,164.5,1.5
244.6,166.9,0.7
246.7,170.8,1.6
244.5,170.8,1.7
244.3,175.4,1.9
245.8,170.4,1.2
250.0,171.7,1.4
252.8,171.6,0.9
253.2,174.3,1.7
256.8,177.4,1.6
258.2,180.0,1.7
257.4,183.2,1.8
254.6,180.5,1.8
255.3,188.0,0.5
253.0,181.6,1.6
251.3,181.0,1.2
250.7,181.9,3.2
249.4,187.3,3.0
247.4,179.9,0.8
245.3,179.4,3.0
245.2,179.3,1.5
244.2,175.1,1.4
240.2,169.8,0.9
237.0,169.7,1.1
236.8,173.1,1.0
236.4,165.6,1.1
232.9,162.1,0.9
228.5,159.0,2.4
228.9,156.4,2.1
231.2,150.6,0.5
230.2,149.9,1.3
228.6,151.5,0.8
225.7,153.3,1.1
224.4,154.8,0.2
224.7,157.8,1.6
224.9,164.5,1.4
222.0,165.3,1.5
220.3,169.9,1.2
221.3,171.2,1.6
226.2,174.6,1.3
229.2,169.8,2.1
231.8,168.5,1.1
233.2,162.2,2.3
235.1,165.7,1.3
239.4,164.1,1.0
241.0,169.9,1.1
244.1,177.5,0.6
243.3,181.7,1.9
244.5,180.0,2.1
242.0,176.7,0.8
244.9,175.1,0.7
245.1,168.0,0.7
245.9,170.4,1.2
246.7,173.5,1.3
244.9,176.6,1.1
246.1,182.8,0.9
242.6,190.2,1.1
