Ants,Larva,Food
274.4,121.0,9.0
273.3,123.1,10.6
273.5,123.9,9.6
272.0,123.9,17.9
274.1,133.1,14.7
270.0,137.9,10.6
267.2,136.5,14.3
269.8,137.4,15.9
267.1,144.0,10.3
271.7,139.4,9.5
273.0,137.4,15.3
275.3,142.7,12.7
279.5,143.4,8.7
279.9,135.3,5.6
279.1,138.0,3.2
276.3,138.1,4.0
275.0,127.6,2.5
271.9,122.7,4.0
267.0,124.1,7.1
266.4,119.0,1.4
264.6,119.1,3.3
258.0,127.1,4.4
254.5,127.9,3.8
256.6,130.1,10.3
257.0,132.3,9.9
259.8,138.1,5.3
260.0,132.9,2.9
256.2,126.4,3.5
256.6,122.6,5.0
254.9,119.0,3.5
253.7,105.2,4.2
248.4,103.5,4.6
240.9,105.9,6.6
236.6,106.1,10.3
234.0,110.0,7.6
229.1,117.5,7.3
225.9,119.9,7.1
222.3,126.0,6.3
220.8,126.7,5.1
224.0,127.7,5.4
220.0,123.3,8.5
217.4,122.8,10.7
218.6,118.0,9.1
220.8,118.1,4.2
220.1,109.1,4.1
216.1,106.5,3.1
214.4,106.3,3.8
209.7,104.4,5.5
208.4,101.4,7.9
208.3,105.1,8.6
208.2,109.7,3.7
206.0,108.6,2.0
196.7,105.0,6.0
193.5,102.5,3.9
193.5,99.9,2.3
192.4,91.5,2.4
190.4,88.0,3.0
188.0,90.6,8.5
184.0,92.2,4.9
180.9,88.8,1.0
175.6,84.4,0.9
170.8,82.7,4.8
168.3,82.3,10.4
169.0,81.5,6.5
169.4,85.9,7.5
166.0,95.4,10.4
165.0,97.1,7.7
166.4,95.9,6.5
167.3,94.9,5.1
168.4,90.0,3.8
166.0,83.7,3.4
165.9,80.9,3.9
158.9,74.9,3.9
155.8,69.8,3.5
150.3,66.1,2.4
145.1,64.0,8.1
148.3,65.6,10.3
147.2,68.9,11.0
145.8,74.5,15.4
145.2,78.1,17.2
145.3,82.0,15.6
148.3,81.9,11.9
151.0,85.0,8.1
155.3,83.2,8.2
155.4,84.4,9.2
156.7,82.2,8.7
158.6,83.8,6.8
157.1,79.3,2.9
156.3,81.6,8.5
163.1,82.1,10.5
166.2,91.6,5.8
