,Ant,Larva,Food
1,50,0,40
2,50,0,52
3,50,3,62
4,50,5,90
5,48,19,111
6,39,27,133
7,35,31,134
8,36,35,150
9,35,34,167
10,48,24,174
11,54,21,184
12,56,19,189
13,62,22,192
14,62,23,207
15,63,22,221
16,66,27,228
17,65,35,233
18,71,32,237
19,72,37,240
20,71,40,275
21,79,35,298
22,82,35,318
23,83,35,346
24,86,36,371
25,86,40,379
26,86,42,367
27,90,41,375
28,93,41,381
29,96,39,396
30,100,45,409
31,104,48,412
32,104,51,413
33,104,53,410
34,106,56,426
35,115,50,406
36,123,45,438
37,127,45,472
38,132,48,500
39,134,56,503
40,134,58,490
41,138,62,485
42,141,66,490
43,146,68,487
44,159,69,488
45,157,73,486
46,157,72,489
47,158,72,487
48,166,69,490
49,178,69,507
50,183,67,498
51,186,77,522
52,191,79,530
53,194,82,543
54,202,80,543
55,207,86,566
56,213,88,595
57,219,86,609
58,222,95,590
59,229,96,642
60,231,92,656
61,244,97,644
62,251,106,633
63,261,99,617
64,265,103,603
65,265,112,612
66,282,109,642
67,292,119,636
68,296,132,652
69,299,142,635
70,304,148,609
71,311,152,596
72,334,152,595
73,341,146,567
74,351,157,558
75,369,162,543
76,374,169,545
77,386,171,554
78,393,183,561
79,418,178,543
80,435,186,560
81,441,199,529
82,458,205,497
83,467,213,477
84,474,219,457
85,502,217,419
86,517,222,376
87,530,243,313
88,547,243,253
89,566,244,185
90,573,256,130
91,588,257,97
92,622,256,22
93,633,255,0
94,619,233,0
95,619,207,0
96,605,195,0
97,582,163,0
98,581,168,13
99,577,190,0
100,544,187,0
101,518,190,3
102,494,197,0
103,470,172,0
104,471,152,3
105,450,172,12
106,451,171,0
107,442,159,0
108,399,155,0
109,386,146,0
110,402,127,3
111,411,121,0
112,394,125,5
113,373,140,17
114,369,152,6
115,353,140,0
116,344,134,0
117,337,131,4
118,339,134,4
119,342,128,15
120,333,153,50
121,337,172,30
122,345,179,0
123,336,158,12
124,346,155,37
125,366,145,34
126,385,131,33
127,392,131,38
128,386,156,51
129,387,164,88
130,400,179,56
131,400,189,47
132,412,199,7
133,398,180,5
134,392,163,0
135,384,141,3
136,390,128,10
137,393,116,0
138,392,147,25
139,389,178,63
140,395,197,43
141,400,216,34
142,400,229,8
143,383,192,0
144,368,165,6
145,357,129,0
146,360,111,0
147,376,100,23
148,359,125,23
149,361,139,57
150,356,161,69
151,358,179,44
152,362,194,30
153,367,194,43
154,383,199,22
155,397,200,1
156,422,186,1
157,434,176,0
158,436,173,9
159,434,169,0
160,442,157,0
161,434,158,7
162,430,171,42
163,433,179,30
164,435,192,10
165,417,197,19
166,428,199,34
167,450,197,25
168,459,198,2
169,465,177,7
170,467,195,0
171,450,184,0
172,437,166,0
173,421,148,6
174,413,148,1
175,431,130,29
176,434,152,15
177,429,160,1
178,427,174,4
179,416,169,5
180,401,162,0
181,392,132,7
182,394,142,24
183,397,148,6
184,397,155,2
185,390,152,3
186,373,177,0
187,372,163,4
188,383,150,13
189,390,157,2
190,369,156,0
191,364,141,0
192,346,142,8
193,355,153,11
194,363,145,0
195,355,163,13
196,363,192,6
197,359,213,0
198,353,203,5
199,342,195,0
200,329,173,0
201,324,131,0
202,337,109,11
203,350,116,20
204,343,118,0
205,321,138,7
206,313,155,22
207,305,163,11
208,305,157,8
209,305,173,14
210,309,179,0
211,303,160,0
212,297,145,0
213,301,152,19
214,298,150,4
215,293,127,0
216,277,117,0
217,260,124,0
218,253,114,0
219,250,101,2
220,243,114,0
221,222,130,17
222,219,144,0
223,227,141,7
224,229,152,2
225,237,141,0
226,242,155,3
227,262,156,0
228,268,184,15
229,282,178,1
230,265,179,0
231,264,156,4
232,281,162,0
233,284,137,0
234,261,131,0
235,258,166,0
236,254,177,0
237,245,135,1
238,247,150,2
239,244,157,4
240,232,122,0
241,237,138,6
242,222,173,0
243,210,147,0
244,210,136,0
245,196,138,4
246,191,117,0
247,193,86,0
248,188,93,11
249,183,93,7
250,184,117,2
251,172,111,0
252,173,129,1
253,162,124,0
254,161,122,2
255,160,89,15
256,160,112,0
257,151,90,0
258,139,81,1
259,129,71,3
260,120,71,5
261,121,41,0
262,114,38,3
263,112,51,0
264,109,65,1
265,98,82,9
266,92,95,6
267,91,117,4
268,81,103,0
269,79,81,0
270,79,67,0
271,80,54,1
272,82,40,0
273,78,35,0
274,76,50,0
275,73,44,0
276,68,40,0
277,67,40,5
278,60,43,18
279,68,41,0
280,62,45,0
281,66,46,8
282,70,49,16
283,74,56,0
284,71,50,1
285,75,47,0
286,77,48,4
287,83,39,3
288,86,31,11
289,90,38,14
290,96,48,18
291,96,53,9
292,98,60,24
293,100,64,26
294,109,63,23
295,121,63,11
296,129,67,8
297,134,79,33
298,144,91,15
299,146,103,7
300,153,112,0
301,145,108,6
302,156,108,25
303,169,117,18
304,182,128,10
305,179,114,0
306,176,125,0
307,176,120,3
308,185,111,1
309,170,80,0
310,159,78,0
311,151,75,0
312,146,72,0
313,148,78,4
314,144,114,1
315,136,119,0
316,145,138,2
317,144,161,1
318,133,153,7
319,133,135,0
320,127,129,0
321,120,95,0
322,124,82,1
323,115,73,7
324,114,80,6
325,105,104,0
326,100,94,0
327,97,79,0
328,96,83,0
329,92,67,0
330,96,38,0
331,85,51,0
332,85,64,2
333,84,58,0
334,80,61,0
335,76,67,0
336,79,62,0
337,81,49,0
338,77,58,0
339,81,61,12
340,83,78,7
341,86,85,0
342,81,88,0
343,82,81,3
344,82,75,0
345,81,58,0
346,85,46,9
347,91,68,5
348,91,61,0
349,89,68,0
350,86,67,0
351,77,62,0
352,74,39,0
353,70,50,13
354,78,57,0
355,73,71,2
356,72,77,3
357,68,94,0
358,67,93,0
359,66,75,1
360,64,66,1
361,61,63,0
362,63,52,0
363,60,45,0
364,60,47,0
365,56,51,1
366,51,44,0
367,50,30,0
368,45,23,0
369,40,17,0
370,37,8,0
371,32,5,0
372,30,5,0
373,28,17,0
374,25,19,0
375,21,18,0
376,17,17,0
377,14,17,0
378,13,7,0
379,10,2,0
380,6,2,3
381,6,4,0
382,6,2,0
383,6,2,0
384,5,2,0
385,4,2,1
386,3,1,0
387,3,1,0
388,3,1,0
389,3,1,0
390,3,1,0
391,3,0,0
392,3,0,0
393,2,0,0
394,2,0,0
395,2,0,0
396,2,0,0
397,1,0,0
398,1,0,0
399,1,0,0
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0,0,0
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0
414,0,0,0
415,0,0,0
416,0,0,0
417,0,0,0
418,0,0,0
419,0,0,0
420,0,0,0
421,0,0,0
422,0,0,0
423,0,0,0
424,0,0,0
425,0,0,0
426,0,0,0
427,0,0,0
428,0,0,0
429,0,0,0
430,0,0,0
431,0,0,0
432,0,0,0
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0,0,0
491,0,0,0
