,Ant,Larva,Food
1,50,0,15
2,50,0,48
3,50,1,76
4,50,3,109
5,49,17,130
6,47,25,166
7,42,32,174
8,40,36,193
9,41,41,219
10,53,31,229
11,57,31,222
12,60,27,237
13,64,23,261
14,70,23,265
15,71,24,261
16,77,25,246
17,77,31,246
18,74,39,275
19,77,41,273
20,77,48,266
21,85,48,262
22,88,52,260
23,94,49,250
24,98,50,235
25,103,50,240
26,106,52,236
27,113,49,226
28,117,56,225
29,120,57,237
30,129,56,249
31,129,58,248
32,129,66,264
33,135,64,307
34,140,69,317
35,148,71,294
36,152,73,281
37,159,74,268
38,161,74,290
39,160,69,301
40,166,71,326
41,173,73,317
42,186,64,311
43,188,70,333
44,188,80,346
45,187,79,373
46,198,75,405
47,201,89,391
48,204,95,383
49,216,94,394
50,219,107,432
51,224,112,435
52,238,120,410
53,248,123,399
54,252,128,393
55,272,138,362
56,275,150,370
57,295,143,339
58,304,148,326
59,315,153,331
60,335,151,288
61,351,162,242
62,361,159,192
63,365,170,159
64,382,182,108
65,397,186,56
66,412,184,25
67,419,186,38
68,425,176,0
69,410,153,0
70,400,139,0
71,391,131,3
72,380,130,7
73,365,132,13
74,352,150,19
75,355,164,33
76,367,168,16
77,366,175,11
78,373,183,39
79,390,185,5
80,377,168,3
81,378,163,0
82,381,156,19
83,391,155,0
84,393,145,9
85,396,151,11
86,387,155,6
87,391,151,4
88,400,144,5
89,409,146,25
90,416,155,21
91,434,171,6
92,427,193,46
93,439,199,65
94,443,223,24
95,449,217,21
96,463,207,0
97,473,195,4
98,471,186,0
99,469,159,8
100,457,152,0
101,442,141,0
102,419,132,0
103,411,116,2
104,402,131,5
105,389,143,6
106,393,146,49
107,380,166,21
108,370,191,46
109,394,187,18
110,415,185,14
111,423,193,7
112,413,184,3
113,411,168,0
114,413,159,7
115,419,153,8
116,431,163,13
117,434,166,0
118,432,172,6
119,429,180,0
120,424,173,5
121,446,174,4
122,429,169,7
123,436,169,16
124,435,174,10
125,410,172,0
126,407,158,0
127,396,160,0
128,394,159,1
129,401,148,4
130,394,173,0
131,394,178,8
132,370,181,1
133,365,186,6
134,358,191,17
135,370,178,0
136,366,159,6
137,370,153,15
138,354,140,0
139,335,119,0
140,320,111,4
141,319,137,28
142,334,145,31
143,327,175,4
144,326,181,7
145,320,199,0
146,338,183,29
147,352,181,10
148,378,158,12
149,384,168,28
150,396,177,3
151,388,176,4
152,385,179,0
153,380,178,0
154,363,155,0
155,355,118,0
156,347,115,0
157,336,114,0
158,332,112,7
159,313,134,7
160,304,167,0
161,302,180,0
162,300,171,0
163,301,163,8
164,292,159,5
165,306,142,0
166,313,131,3
167,304,118,6
168,301,137,0
169,285,128,0
170,285,141,0
171,276,134,0
172,267,133,0
173,269,120,0
174,258,126,0
175,264,100,5
176,249,94,0
177,249,110,0
178,248,101,2
179,254,115,9
180,246,126,1
181,230,135,0
182,231,118,0
183,224,103,0
184,218,81,1
185,209,68,7
186,205,64,6
187,207,76,19
188,198,99,49
189,197,116,20
190,191,129,0
191,184,132,2
192,191,122,4
193,199,111,0
194,191,89,0
195,200,78,10
196,200,77,0
197,204,81,11
198,203,87,11
199,193,96,15
200,194,111,0
201,194,118,0
202,194,110,0
203,181,96,0
204,176,94,0
205,169,66,4
206,178,64,3
207,167,73,0
208,161,71,4
209,172,82,10
210,167,106,14
211,175,109,3
212,169,101,2
213,162,106,0
214,162,86,0
215,167,70,5
216,171,61,5
217,167,65,9
218,174,79,4
219,170,97,1
220,173,109,17
221,180,123,15
222,184,134,9
223,195,126,12
224,204,124,0
225,197,118,0
226,199,92,9
227,194,88,0
228,185,83,13
229,194,79,4
230,184,84,0
231,168,81,0
232,159,72,6
233,150,72,4
234,139,61,0
235,141,64,5
236,137,69,6
237,140,86,8
238,127,86,5
