,Ant,Larva,Food
1,100,0,0
2,100,0,72
3,81,0,143
4,67,19,170
5,46,42,174
6,57,42,194
7,70,32,203
8,83,33,229
9,83,40,246
10,87,40,251
11,98,39,269
12,101,47,294
13,105,52,312
14,118,41,316
15,129,51,357
16,129,73,402
17,135,92,452
18,154,101,507
19,182,79,516
20,204,55,517
21,201,82,563
22,189,119,613
23,200,115,629
24,241,100,680
25,257,107,726
26,273,118,779
27,280,127,814
28,298,105,803
29,309,110,835
30,306,143,895
31,321,147,934
32,331,175,1011
33,356,162,1031
34,401,136,1070
35,410,167,1153
36,423,160,1161
37,446,124,1137
38,437,150,1173
39,430,186,1231
40,454,181,1267
41,479,155,1268
42,482,171,1303
43,454,216,1337
44,488,189,1352
45,525,158,1365
46,538,169,1412
47,522,207,1455
48,526,244,1537
49,539,215,1507
50,584,167,1501
51,577,213,1579
52,553,265,1633
53,579,241,1637
54,614,206,1638
55,647,180,1653
56,640,194,1667
57,616,250,1729
58,631,245,1749
59,649,219,1732
60,651,224,1747
61,654,217,1741
62,651,235,1771
63,665,257,1841
64,684,237,1840
65,701,229,1858
66,694,264,1914
67,694,245,1877
68,713,205,1834
69,697,229,1850
70,671,276,1892
71,691,285,1951
72,705,280,1968
73,747,242,1975
74,773,248,2040
75,771,261,2063
76,794,267,2121
77,787,295,2163
78,802,282,2167
79,838,268,2210
80,827,295,2243
81,822,286,2215
82,853,279,2261
83,836,321,2313
84,842,312,2306
85,886,290,2349
86,882,284,2329
87,867,308,2348
88,862,348,2419
89,877,365,2483
90,904,384,2573
91,949,317,2530
92,989,263,2501
93,950,319,2536
94,934,323,2513
95,941,324,2527
96,922,365,2572
97,925,347,2541
98,949,312,2520
99,967,277,2486
100,943,294,2473
101,890,387,2552
102,929,343,2542
103,1007,255,2522
104,964,296,2517
105,920,344,2527
106,912,381,2585
107,953,331,2565
108,1000,311,2621
109,984,347,2660
110,982,373,2707
111,988,343,2659
112,1050,281,2659
113,1018,301,2637
114,975,358,2663
115,940,382,2641
116,972,375,2691
117,1017,339,2709
118,1036,312,2695
119,1020,360,2754
120,984,390,2745
121,1016,356,2743
122,1022,379,2801
123,1026,387,2825
124,1048,350,2794
125,1044,372,2829
126,1038,375,2825
127,1058,352,2817
128,1059,350,2815
129,1049,392,2881
130,1056,419,2947
131,1105,372,2952
132,1113,336,2897
133,1122,358,2959
134,1097,386,2963
135,1106,371,2952
136,1111,359,2938
137,1111,373,2967
138,1088,415,3005
139,1084,397,2960
140,1102,364,2931
141,1120,353,2945
142,1124,359,2964
143,1121,363,2965
144,1099,411,3017
145,1095,450,3089
146,1137,397,3067
147,1198,337,3068
148,1163,371,3066
149,1142,414,3111
150,1136,382,3033
151,1149,363,3021
152,1152,394,3090
153,1157,378,3069
154,1152,397,3096
155,1114,415,3056
156,1141,366,3011
157,1140,383,3045
158,1106,465,3140
159,1146,435,3157
160,1231,343,3146
161,1203,373,3151
162,1165,427,3182
163,1194,394,3169
164,1198,395,3183
165,1188,426,3225
166,1177,424,3201
167,1208,399,3211
168,1204,421,3247
169,1186,468,3325
170,1204,459,3433
171,1247,453,3399
172,1281,433,3427
173,1307,393,3399
174,1267,425,3381
175,1242,453,3387
176,1243,435,3354
177,1272,407,3355
178,1280,434,3425
179,1259,469,3454
180,1279,432,3420
181,1312,384,3391
182,1288,400,3373
183,1273,412,3367
184,1245,440,3369
185,1263,463,3451
186,1272,465,3473
187,1300,408,3415
188,1315,394,3418
189,1287,427,3427
190,1266,450,3431
191,1273,442,3429
192,1318,402,3438
193,1319,366,3367
194,1312,435,3491
195,1282,499,3560
196,1318,458,3549
197,1349,471,3638
198,1328,498,3651
199,1347,415,3522
200,1359,428,3570
201,1332,507,3675
202,1367,430,3592
203,1412,359,3541
204,1345,425,3537
205,1258,467,3449
206,1266,452,3433
207,1270,449,3436
208,1284,405,3377
209,1286,389,3347
210,1250,407,3311
211,1253,429,3363
212,1216,495,3421
213,1203,483,3370
214,1295,372,3332
215,1287,384,3340
216,1244,455,3435
217,1225,456,3488
218,1263,390,3489
219,1257,360,3452
220,1222,422,3489
221,1226,446,3530
222,1261,424,3630
223,1285,424,3827
224,1287,423,3869
225,1294,421,3911
226,1264,400,4004
227,1274,421,4017
228,1254,470,4009
229,1268,421,4110
230,1296,393,4105
231,1262,419,4085
232,1267,388,4156
233,1271,377,4227
234,1226,424,4255
235,1214,461,4228
236,1240,419,4245
237,1267,413,4170
238,1232,423,4134
239,1260,407,4170
240,1224,434,4291
241,1207,467,4299
242,1195,465,4279
243,1234,407,4339
244,1264,402,4357
245,1253,425,4370
246,1266,426,4393
247,1236,443,4525
248,1250,429,4471
249,1232,394,4497
250,1259,393,4568
251,1228,420,4608
252,1238,422,4684
253,1252,426,4746
254,1254,413,4906
255,1239,426,5002
256,1239,400,5068
257,1244,403,5064
258,1243,454,5121
259,1267,472,5143
260,1278,410,5296
261,1301,401,5413
262,1248,453,5579
263,1269,436,5705
264,1294,378,5794
265,1289,346,5939
266,1260,389,6025
267,1248,419,6117
268,1216,396,6315
269,1209,376,6327
270,1209,382,6350
271,1193,356,6408
272,1168,327,6417
273,1132,347,6591
274,1090,365,6660
