,Ant,Larva,Food
399,290,116,0
400,285,130,3
401,291,113,8
402,304,109,17
403,308,110,24
404,317,120,31
405,327,128,13
406,321,143,8
407,315,142,4
408,314,157,6
409,311,149,4
410,316,151,1
411,324,150,5
412,316,155,1
413,326,148,9
414,324,156,17
415,334,156,0
416,348,149,3
417,345,144,3
418,346,138,0
419,343,129,3
420,332,114,0
421,337,121,8
422,335,125,2
423,340,132,12
424,342,144,5
425,347,158,2
426,344,169,0
427,339,162,1
428,336,157,6
429,338,155,0
430,334,153,2
431,346,145,6
432,343,156,1
433,333,150,0
434,331,145,0
435,327,140,1
436,329,137,5
437,340,134,4
438,345,138,7
439,344,137,1
440,346,149,0
441,351,156,0
442,356,157,6
443,369,166,0
444,368,164,3
445,362,156,3
446,372,149,8
447,374,149,2
448,381,134,2
449,383,140,10
450,391,155,2
451,390,155,4
452,387,156,7
453,377,171,0
454,379,169,0
455,378,153,3
456,370,154,5
457,378,169,2
458,381,165,13
459,386,162,2
460,367,158,5
461,372,164,1
462,366,158,1
463,369,157,7
464,378,161,3
465,385,171,1
466,382,175,2
467,378,170,16
468,373,179,0
469,373,168,1
470,369,165,1
471,380,159,3
472,380,166,1
473,382,151,2
474,385,158,1
475,387,149,16
476,386,160,4
477,381,159,6
478,377,157,18
479,390,169,7
480,383,178,4
481,387,156,4
482,392,157,4
483,382,165,2
484,383,151,0
485,382,150,1
486,373,162,1
487,367,163,2
488,366,168,2
489,361,167,3
490,361,164,4
491,363,155,4
492,367,147,0
493,374,132,2
494,371,135,1
495,377,135,13
496,382,148,1
497,383,148,8
498,377,156,2
499,377,149,4
500,375,153,2
501,372,144,0
502,364,144,0
503,368,140,9
504,377,140,13
505,382,154,14
506,388,159,9
507,388,166,3
508,391,168,10
509,389,176,10
510,402,171,3
511,390,168,5
512,388,163,3
513,385,160,6
514,392,165,4
515,400,159,9
516,399,160,1
517,393,165,0
518,398,169,1
519,400,154,1
520,402,157,2
521,401,152,5
522,402,140,1
523,399,129,0
524,391,140,5
525,385,135,5
526,374,143,4
527,366,154,28
528,365,182,2
529,366,184,1
530,366,177,3
531,376,185,4
532,380,183,17
533,408,160,1
534,420,156,6
535,418,169,7
536,428,161,0
537,425,173,4
538,419,177,4
539,411,169,0
540,411,162,13
541,411,171,10
542,423,177,4
543,426,185,1
544,407,183,3
545,410,189,3
546,404,182,2
547,397,164,0
548,391,154,3
549,374,161,5
550,380,154,0
551,381,151,6
552,385,157,4
553,386,158,0
554,400,154,4
555,391,151,4
556,392,152,5
