Ants,Larva,Food
827.0,281.8,4.9
822.0,281.6,6.5
821.0,276.3,6.5
820.1,275.5,11.1
818.7,277.1,4.3
815.9,276.6,4.8
814.4,275.3,5.7
813.5,273.6,13.1
818.5,275.9,10.5
820.0,273.5,7.9
821.5,273.7,6.3
814.5,271.7,12.9
807.7,274.8,17.3
810.3,274.8,14.5
815.2,274.0,19.2
815.9,272.9,17.5
809.2,276.7,24.8
812.8,277.5,27.3
821.0,278.0,19.5
826.8,279.9,20.2
828.0,282.2,14.7
829.1,284.2,17.1
828.6,285.5,18.0
837.0,285.5,18.5
838.5,287.1,12.1
839.2,286.0,16.8
842.1,287.8,20.6
844.1,295.5,15.5
843.8,291.9,15.9
842.4,295.3,12.0
838.0,300.4,13.1
840.8,293.5,15.2
849.7,283.8,13.7
844.7,282.4,15.8
846.5,277.1,13.4
846.6,273.8,15.9
848.1,275.3,19.2
849.5,279.1,18.2
850.7,283.2,16.5
851.2,286.8,18.1
851.1,289.6,13.8
849.2,298.2,9.3
849.2,297.4,7.6
847.3,297.7,5.7
843.2,293.4,8.6
839.0,292.9,4.7
838.4,285.7,7.1
842.7,282.6,12.4
844.4,279.4,11.2
844.0,283.5,9.0
848.1,281.9,9.1
848.5,282.4,11.2
848.3,287.4,11.7
849.8,289.0,10.7
847.0,290.3,8.3
849.1,288.9,9.3
848.6,289.9,9.5
847.4,286.4,11.3
849.2,282.7,12.5
849.4,283.4,14.1
853.9,284.2,14.4
855.9,284.3,13.7
853.5,284.6,11.5
854.1,291.5,14.8
854.4,289.0,15.4
844.7,290.2,12.1
845.6,289.2,11.6
845.1,288.4,11.2
848.2,281.7,15.8
843.5,286.9,20.1
845.2,286.5,14.2
841.4,284.5,17.4
840.0,286.2,17.5
837.3,288.6,19.9
837.4,282.6,24.3
836.7,280.7,24.9
836.5,286.8,28.1
839.4,284.9,20.6
839.9,281.4,29.1
837.1,287.7,27.9
841.2,286.5,27.4
839.7,285.9,25.5
838.3,286.3,27.6
833.4,292.7,23.2
837.1,288.2,20.1
832.1,289.1,23.0
831.7,290.9,19.5
834.0,290.4,19.2
830.4,289.5,18.3
827.2,294.8,17.6
825.4,295.1,14.9
824.1,291.9,13.5
822.8,293.9,13.3
818.5,295.7,13.6
811.2,290.1,11.2
811.1,288.6,12.7
808.0,284.6,15.4
802.7,282.1,16.4
803.7,279.7,19.0
806.0,281.7,24.4
803.2,280.3,24.7
797.5,285.4,28.7
794.2,284.0,27.1
798.9,286.0,28.3
800.6,286.9,26.0
801.9,289.2,25.3
804.1,294.0,21.9
801.7,296.5,25.1
798.0,293.3,24.1
796.5,297.3,21.6
794.9,297.1,20.2
803.0,295.7,18.1
807.5,295.6,21.9
811.4,295.2,22.9
814.1,289.8,22.8
813.1,289.3,26.7
817.7,284.7,24.9
820.9,288.1,24.8
821.1,291.5,30.3
817.6,292.4,25.7
819.9,290.5,31.4
820.0,295.4,34.6
819.3,292.9,33.9
820.2,288.9,38.5
821.5,291.7,36.3
819.5,290.6,40.7
823.6,285.1,39.2
826.5,284.6,42.7
823.4,287.4,42.3
828.3,289.9,41.1
828.2,294.6,40.0
824.5,300.9,43.1
818.7,303.6,43.7
814.9,306.3,45.5
816.5,298.8,50.6
815.3,301.9,48.1
812.5,298.7,47.8
808.6,298.3,50.4
805.1,295.2,47.0
801.3,299.0,42.2
803.3,297.7,39.6
800.8,292.1,40.5
800.1,293.3,36.3
800.7,291.2,39.3
798.1,290.9,36.6
796.2,285.2,36.7
797.1,286.1,40.9
793.0,284.1,43.6
790.9,288.3,45.5
785.2,286.2,48.6
779.8,288.5,52.5
778.7,287.4,59.8
781.0,291.7,59.9
781.0,289.4,59.3
780.0,291.7,60.6
773.9,294.0,64.9
767.2,293.1,70.6
765.8,293.3,67.6
766.4,288.6,72.4
759.1,282.6,75.6
759.0,285.3,76.3
757.9,286.2,85.1
756.5,287.5,83.5
754.1,291.0,85.9
759.7,301.0,83.2
