,Ant,Larva,Food
1,50,0,30
2,50,0,57
3,50,1,103
4,50,2,107
5,46,12,117
6,43,23,126
7,40,28,152
8,39,34,184
9,36,40,205
10,39,42,189
11,51,34,191
12,55,37,223
13,59,34,274
14,65,32,324
15,73,30,333
16,77,29,367
17,80,29,387
18,79,37,388
19,85,43,401
20,85,52,403
21,82,59,452
22,84,64,480
23,92,66,480
24,99,63,529
25,114,59,549
26,122,60,563
27,126,61,569
28,138,62,570
29,141,67,591
30,142,67,612
31,140,66,646
32,145,64,670
33,153,60,707
34,160,63,746
35,163,66,798
36,163,74,806
37,169,78,803
38,172,83,839
39,179,91,893
40,190,95,929
41,200,99,969
42,202,111,1019
43,217,106,1050
44,227,116,1036
45,233,110,1066
46,243,109,1090
47,259,107,1086
48,263,121,1107
49,276,114,1129
50,281,118,1172
51,292,130,1176
52,298,125,1195
53,310,126,1215
54,321,133,1217
55,325,135,1245
56,338,140,1255
57,347,141,1296
58,357,140,1317
59,373,145,1310
60,380,156,1329
61,397,157,1339
62,404,172,1364
63,413,183,1377
64,424,188,1372
65,435,193,1398
66,452,205,1402
67,472,206,1366
68,483,201,1412
69,492,204,1457
70,511,194,1488
71,533,195,1486
72,547,199,1524
73,549,209,1501
74,558,214,1466
75,560,231,1469
76,574,236,1425
77,590,241,1461
78,609,252,1405
79,627,262,1420
80,644,285,1375
81,667,290,1385
82,689,302,1368
83,713,311,1326
84,730,314,1274
85,764,307,1259
86,787,318,1246
87,809,312,1236
88,839,320,1168
89,848,322,1144
90,856,322,1125
91,890,303,1128
92,904,311,1113
93,934,291,1136
94,947,300,1112
95,957,318,1138
96,964,337,1115
97,980,356,1085
98,991,387,1029
99,996,407,955
100,1017,409,876
101,1042,421,818
102,1072,412,734
103,1104,398,639
104,1116,387,552
105,1142,384,496
106,1160,383,442
107,1169,385,405
108,1189,393,282
109,1187,407,243
110,1210,407,175
111,1248,411,104
112,1244,436,85
113,1253,440,3
114,1204,395,10
115,1203,382,0
116,1202,347,5
117,1162,294,0
