Ants,Larva,Food
157.9,79.5,1.8
156.4,80.8,1.7
156.1,79.0,1.7
157.0,78.0,1.4
156.1,80.6,1.4
153.9,78.0,1.1
153.1,79.5,1.3
153.6,78.4,2.4
152.7,77.3,2.0
153.5,74.6,1.4
150.9,74.5,1.4
150.4,73.0,0.8
148.6,70.9,1.5
147.1,73.1,3.3
148.6,72.2,2.1
149.1,71.0,2.3
149.1,72.4,0.6
148.2,74.3,4.9
148.1,75.0,2.3
149.8,75.0,2.9
150.4,77.2,1.9
152.1,76.8,2.1
148.9,77.0,1.8
149.2,76.1,0.9
147.9,77.6,2.0
149.7,76.6,1.9
148.2,75.5,1.2
147.9,74.4,2.8
150.5,75.0,3.2
153.1,75.7,1.4
152.9,75.8,1.3
151.9,80.9,1.8
152.4,81.9,1.9
151.0,80.8,1.4
149.9,80.8,2.4
148.1,80.3,2.1
151.7,77.9,1.7
152.6,74.2,1.7
151.9,75.7,1.4
151.8,76.8,2.9
155.4,77.7,3.6
156.3,79.9,2.2
156.2,83.4,2.5
155.2,82.0,1.7
155.1,81.7,1.9
154.4,81.9,1.4
153.8,78.6,1.6
154.5,78.8,3.1
157.7,79.4,3.8
161.1,81.2,2.4
162.3,80.4,2.1
160.2,82.1,1.6
159.6,84.3,1.0
160.0,81.8,2.5
159.7,78.0,1.6
161.1,78.0,4.1
160.0,81.2,2.0
159.6,76.9,1.7
158.5,78.6,3.1
157.6,80.9,1.7
155.8,78.5,2.1
156.4,76.5,1.6
153.8,75.0,2.2
152.7,73.7,2.1
152.7,73.4,1.1
153.9,72.6,2.7
152.1,72.6,0.9
149.7,74.9,2.9
152.0,76.8,1.6
152.8,75.9,3.6
151.8,79.5,2.4
150.8,79.3,2.1
150.7,78.5,1.9
152.4,78.9,2.1
152.8,79.9,0.9
150.8,79.0,1.8
150.1,77.8,2.2
146.8,76.2,1.1
146.4,74.8,1.9
147.5,72.4,1.5
145.3,70.8,1.6
144.3,71.7,1.7
144.1,74.8,1.9
141.8,74.0,2.4
141.3,74.7,2.4
142.5,75.1,1.5
142.1,72.9,1.5
142.1,71.0,0.6
141.6,69.3,2.3
142.4,68.6,1.1
140.5,69.3,3.6
141.1,72.6,3.6
141.6,74.0,3.5
141.4,74.8,2.0
140.1,77.2,2.1
144.0,74.8,1.6
144.1,74.9,1.4
145.9,72.9,1.9
144.6,74.0,2.0
146.6,75.2,2.1
145.7,76.9,1.4
146.6,75.7,1.8
146.4,76.1,1.6
146.8,76.8,2.3
145.5,74.4,1.7
145.9,74.0,1.9
144.8,71.3,1.3
145.1,71.3,1.3
145.8,70.1,1.9
147.8,71.4,2.2
146.5,72.2,2.4
147.1,75.3,1.9
147.6,76.8,2.5
147.4,76.8,1.8
146.6,76.4,1.9
147.8,77.6,2.1
149.2,77.5,2.1
148.9,75.1,3.0
148.9,72.6,1.2
147.1,72.5,1.8
147.1,71.7,1.5
148.7,69.9,2.1
149.9,72.8,2.1
149.9,76.4,2.5
151.4,78.4,2.1
152.2,79.4,1.9
152.0,81.0,1.2
152.9,79.2,1.0
152.1,76.1,1.4
152.2,73.8,1.9
154.3,74.3,2.4
154.0,75.4,1.7
152.2,77.2,2.5
150.3,78.8,2.1
150.1,81.1,1.3
149.2,79.0,1.1
150.0,78.5,1.0
151.1,75.8,0.8
149.9,74.2,1.9
151.4,71.3,1.9
150.5,72.8,1.7
152.7,72.8,1.6
152.3,73.1,1.7
151.8,75.3,0.8
151.1,76.3,2.5
150.0,76.3,3.1
149.8,77.1,2.5
150.4,79.3,1.4
150.5,77.4,0.5
148.9,75.1,0.6
145.4,72.0,0.7
144.9,71.1,1.8
146.4,69.5,1.7
144.8,68.4,2.3
144.3,71.3,1.8
144.0,74.7,1.2
142.7,72.4,2.0
142.4,73.0,0.9
143.3,71.6,1.8
139.4,68.1,1.9
141.2,68.0,1.5
139.3,67.4,2.8
142.5,68.9,2.6
139.9,68.6,3.3
140.7,72.9,3.3
142.7,73.8,1.8
143.0,74.8,3.7
144.9,73.7,2.1
144.0,76.0,4.0
144.9,76.5,2.7
145.1,75.1,1.9
143.5,75.0,2.3
146.1,73.3,2.1
146.6,72.0,3.3
149.5,69.6,2.4
149.5,70.8,1.8
149.3,73.1,2.4
148.8,73.3,3.4
148.9,75.3,2.5
