,Ant,Larva,Food
399,160,77,2
400,158,75,2
401,160,76,1
402,160,80,0
403,156,80,1
404,154,79,1
405,155,87,0
406,159,76,0
407,158,71,0
408,155,70,1
409,162,76,2
410,166,76,4
411,158,87,7
412,158,87,4
413,156,90,1
414,159,91,0
415,154,75,1
416,154,69,0
417,149,67,3
418,158,67,0
419,154,64,1
420,149,79,4
421,149,89,0
422,149,88,0
423,149,84,0
424,150,85,0
425,152,77,0
426,153,72,3
427,156,80,0
428,161,87,0
429,157,73,1
430,153,78,0
431,155,79,1
432,158,76,1
433,160,68,1
434,155,80,4
435,152,82,6
436,157,91,0
437,156,87,0
438,162,88,3
439,158,91,0
440,161,84,1
441,162,74,2
442,159,72,1
443,153,64,0
444,150,63,2
445,153,67,2
446,153,77,1
447,146,83,2
448,144,94,1
449,146,95,4
450,150,92,0
451,153,86,3
452,148,83,2
453,149,77,3
454,155,73,1
455,157,77,1
456,157,73,1
457,158,70,1
458,160,76,1
459,164,78,2
460,162,80,2
461,158,86,1
462,161,99,1
463,166,87,0
464,164,81,1
465,155,85,5
466,166,84,2
467,167,73,2
468,160,82,2
469,160,96,9
470,161,92,1
471,166,85,1
472,161,88,1
473,160,88,1
474,168,80,4
475,170,79,1
476,170,80,0
477,164,84,3
478,169,74,0
479,175,85,0
480,167,85,1
481,162,86,1
482,165,81,4
483,165,87,1
484,154,73,0
485,155,69,0
486,151,71,1
487,150,70,2
488,156,69,2
489,153,80,3
490,157,80,2
491,163,90,0
492,164,95,1
493,159,98,2
494,152,91,0
495,147,86,1
496,148,81,0
497,153,73,1
498,151,69,2
499,157,70,6
500,156,73,3
501,158,67,3
502,156,74,1
503,148,79,4
504,147,79,0
505,149,77,2
506,148,82,1
507,149,78,5
508,157,71,4
509,163,75,0
510,164,80,2
511,163,84,2
512,170,94,1
513,171,94,3
514,177,104,0
515,172,101,1
516,163,96,1
517,167,94,0
518,168,93,7
519,166,92,0
520,160,90,2
521,156,96,1
522,158,91,3
523,156,93,0
524,156,84,0
525,151,82,1
526,145,69,1
527,148,71,1
528,142,65,1
529,147,63,1
530,147,64,2
531,140,72,1
532,144,71,1
533,153,74,4
534,159,78,2
535,158,86,2
536,152,86,0
537,153,87,2
538,149,85,0
539,141,82,0
540,145,69,1
541,143,70,6
542,144,67,2
543,146,57,0
544,147,67,1
545,143,70,1
546,144,64,1
547,146,70,1
548,139,74,1
549,144,68,0
550,136,67,6
551,137,73,1
552,136,71,0
553,135,75,0
554,131,69,1
555,129,75,6
556,131,70,0
557,126,71,0
558,124,70,1
559,120,69,0
560,119,62,3
561,117,61,2
562,125,58,0
563,125,57,3
564,129,61,2
565,128,74,0
566,128,71,1
567,134,73,1
568,134,72,3
569,135,76,4
570,135,63,1
571,135,71,0
572,134,62,0
573,131,65,4
574,131,66,2
575,126,70,3
576,128,75,0
577,129,82,5
578,126,85,0
579,127,76,3
580,124,82,1
581,125,71,4
582,128,70,1
583,127,65,0
584,121,67,1
585,125,65,1
586,117,65,0
587,119,65,1
588,113,61,3
589,110,60,2
590,108,61,3
591,108,62,1
592,110,60,2
593,106,62,1
594,108,64,2
595,115,63,0
596,118,57,1
597,121,57,0
598,119,57,0
599,115,57,5
600,116,58,0
601,112,61,1
602,115,65,7
603,117,67,0
604,111,71,1
605,113,71,0
606,110,71,1
607,115,67,6
608,121,65,2
609,126,61,0
610,130,50,3
611,134,57,3
612,134,59,1
613,135,63,7
614,134,69,3
615,133,81,1
616,138,82,1
617,132,77,2
618,133,73,1
619,133,68,0
620,133,61,0
621,134,59,2
622,137,65,1
623,127,72,2
624,124,75,5
625,128,79,0
626,127,79,1
627,127,74,0
628,122,72,3
629,125,66,1
630,132,61,1
