,Ant,Larva,Food
1,50,0,0
2,50,0,0
3,50,0,5
4,50,0,30
5,50,1,29
6,50,9,36
7,44,23,32
8,41,26,29
9,35,34,31
10,31,40,33
11,30,35,39
12,35,29,22
13,49,29,17
14,50,28,20
15,56,22,10
16,60,25,0
17,57,17,14
18,60,16,45
19,61,15,77
20,60,18,103
21,58,22,118
22,56,26,127
23,56,33,144
24,54,33,156
25,53,36,176
26,57,31,189
27,59,34,234
28,61,33,234
29,69,34,236
30,70,37,239
31,75,41,275
32,76,39,311
33,78,37,335
34,86,41,339
35,89,42,359
36,95,40,383
37,102,45,420
38,98,42,446
39,99,38,484
40,105,36,505
41,109,35,537
42,115,40,543
43,117,39,562
44,119,48,581
45,120,52,662
46,124,60,665
47,126,57,731
48,127,58,787
49,130,57,852
50,136,61,912
51,138,53,936
52,147,60,948
53,146,61,976
54,148,64,996
55,153,58,1012
56,163,61,1037
57,167,61,1042
58,169,60,1030
59,169,52,1037
60,177,54,1078
61,176,50,1125
62,176,48,1168
63,183,47,1196
64,190,49,1225
65,192,52,1243
66,191,55,1240
67,186,55,1258
68,188,52,1299
69,180,54,1369
70,177,52,1393
71,184,49,1427
72,188,47,1528
73,186,49,1538
74,181,46,1553
75,185,44,1585
76,180,49,1604
77,172,51,1617
78,167,50,1649
79,173,49,1690
80,171,55,1727
81,171,54,1752
82,176,54,1795
83,173,61,1806
84,170,63,1876
85,173,59,1934
86,176,53,1976
87,179,54,1990
88,181,44,2021
89,185,39,2098
90,188,37,2162
91,185,38,2207
92,187,46,2230
93,189,51,2277
94,191,55,2306
95,183,57,2330
96,180,59,2344
97,178,49,2403
98,180,44,2450
99,183,45,2496
100,179,42,2536
101,175,41,2579
102,174,43,2677
103,172,44,2749
104,170,47,2765
105,170,51,2776
106,166,45,2829
107,173,48,2859
108,171,48,2893
109,173,46,2984
110,175,41,3093
111,174,43,3158
112,171,39,3216
113,172,46,3237
114,168,43,3296
115,168,46,3343
116,161,44,3374
117,160,43,3395
118,156,37,3462
119,157,33,3524
120,162,29,3568
121,161,30,3609
122,160,30,3664
123,152,32,3697
124,147,31,3759
125,145,34,3806
126,139,34,3824
127,138,32,3909
128,131,32,3977
129,134,31,4013
130,131,28,4073
131,127,30,4088
132,129,29,4108
133,126,26,4123
134,124,28,4177
135,120,28,4188
136,117,24,4248
137,116,25,4315
138,112,26,4357
139,112,26,4394
140,114,24,4477
141,114,24,4525
142,111,26,4594
143,104,19,4647
144,104,18,4713
145,104,23,4751
146,101,28,4776
147,101,25,4797
148,102,32,4837
149,98,33,4903
150,94,31,4940
151,97,24,4967
152,101,24,5035
153,100,20,5093
154,106,20,5160
155,109,13,5234
156,111,14,5274
157,106,19,5312
158,105,17,5389
159,104,15,5424
160,99,18,5473
161,95,22,5556
162,87,17,5605
163,92,19,5673
164,82,18,5704
165,83,20,5734
166,80,18,5783
167,79,19,5865
168,78,17,5903
169,75,17,5979
170,74,16,6010
171,73,17,6024
172,76,14,6078
173,75,15,6113
174,66,16,6146
175,65,14,6166
176,64,10,6181
177,62,12,6220
178,60,12,6273
179,55,10,6305
180,55,12,6336
181,49,11,6349
182,49,10,6386
183,51,10,6434
184,52,11,6490
185,51,12,6539
186,52,16,6573
187,52,14,6644
188,54,15,6663
189,55,14,6683
190,55,13,6739
191,52,16,6741
192,54,16,6791
193,54,14,6825
194,51,17,6835
195,48,19,6855
196,48,14,6853
197,53,14,6863
198,54,14,6913
199,52,12,6948
200,54,9,6978
201,56,8,7003
202,56,10,7059
203,57,11,7100
204,55,12,7146
205,52,12,7204
206,51,14,7275
207,49,11,7314
208,50,13,7347
209,50,13,7372
210,51,17,7380
211,48,15,7444
212,50,17,7477
213,49,15,7495
214,49,13,7557
215,49,10,7573
216,55,9,7632
217,53,8,7678
218,53,5,7769
219,53,5,7804
220,53,5,7847
221,54,8,7917
222,50,9,7970
223,50,12,8039
224,46,15,8058
225,43,14,8110
226,43,15,8147
227,44,15,8218
228,41,15,8249
229,41,13,8271
230,40,15,8289
231,41,15,8301
232,43,17,8297
233,46,15,8363
234,48,19,8408
235,44,18,8416
236,45,15,8488
237,45,15,8509
238,50,15,8566
239,50,13,8580
240,49,12,8611
241,50,12,8660
242,48,10,8694
243,51,11,8744
244,48,10,8804
245,45,8,8825
246,44,8,8866
247,41,6,8918
248,40,5,8958
249,42,6,8984
250,39,8,9050
251,38,8,9066
252,37,9,9105
253,36,9,9125
254,34,9,9177
255,34,6,9182
256,34,7,9209
257,33,8,9254
258,32,7,9268
259,33,8,9341
260,33,8,9402
261,31,11,9450
262,29,8,9456
263,30,9,9459
264,31,12,9486
265,32,12,9495
